Sinusoidal Grid
 Bounding Coordinates of MODLAND Tiles
 ntile_vert = 18
 ntile_horiz = 36
 iv  ih    lon_min    lon_max   lat_min   lat_max
  0   0  -999.0000  -999.0000  -99.0000  -99.0000
  0   1  -999.0000  -999.0000  -99.0000  -99.0000
  0   2  -999.0000  -999.0000  -99.0000  -99.0000
  0   3  -999.0000  -999.0000  -99.0000  -99.0000
  0   4  -999.0000  -999.0000  -99.0000  -99.0000
  0   5  -999.0000  -999.0000  -99.0000  -99.0000
  0   6  -999.0000  -999.0000  -99.0000  -99.0000
  0   7  -999.0000  -999.0000  -99.0000  -99.0000
  0   8  -999.0000  -999.0000  -99.0000  -99.0000
  0   9  -999.0000  -999.0000  -99.0000  -99.0000
  0  10  -999.0000  -999.0000  -99.0000  -99.0000
  0  11  -999.0000  -999.0000  -99.0000  -99.0000
  0  12  -999.0000  -999.0000  -99.0000  -99.0000
  0  13  -999.0000  -999.0000  -99.0000  -99.0000
  0  14  -180.0000  -172.7151   80.0000   80.4083
  0  15  -180.0000  -115.1274   80.0000   83.6250
  0  16  -180.0000   -57.5397   80.0000   86.8167
  0  17  -180.0000    57.2957   80.0000   90.0000
  0  18    -0.0040   180.0000   80.0000   90.0000
  0  19    57.5877   180.0000   80.0000   86.8167
  0  20   115.1754   180.0000   80.0000   83.6250
  0  21   172.7631   180.0000   80.0000   80.4083
  0  22  -999.0000  -999.0000  -99.0000  -99.0000
  0  23  -999.0000  -999.0000  -99.0000  -99.0000
  0  24  -999.0000  -999.0000  -99.0000  -99.0000
  0  25  -999.0000  -999.0000  -99.0000  -99.0000
  0  26  -999.0000  -999.0000  -99.0000  -99.0000
  0  27  -999.0000  -999.0000  -99.0000  -99.0000
  0  28  -999.0000  -999.0000  -99.0000  -99.0000
  0  29  -999.0000  -999.0000  -99.0000  -99.0000
  0  30  -999.0000  -999.0000  -99.0000  -99.0000
  0  31  -999.0000  -999.0000  -99.0000  -99.0000
  0  32  -999.0000  -999.0000  -99.0000  -99.0000
  0  33  -999.0000  -999.0000  -99.0000  -99.0000
  0  34  -999.0000  -999.0000  -99.0000  -99.0000
  0  35  -999.0000  -999.0000  -99.0000  -99.0000
  1   0  -999.0000  -999.0000  -99.0000  -99.0000
  1   1  -999.0000  -999.0000  -99.0000  -99.0000
  1   2  -999.0000  -999.0000  -99.0000  -99.0000
  1   3  -999.0000  -999.0000  -99.0000  -99.0000
  1   4  -999.0000  -999.0000  -99.0000  -99.0000
  1   5  -999.0000  -999.0000  -99.0000  -99.0000
  1   6  -999.0000  -999.0000  -99.0000  -99.0000
  1   7  -999.0000  -999.0000  -99.0000  -99.0000
  1   8  -999.0000  -999.0000  -99.0000  -99.0000
  1   9  -999.0000  -999.0000  -99.0000  -99.0000
  1  10  -999.0000  -999.0000  -99.0000  -99.0000
  1  11  -180.0000  -175.4039   70.0000   70.5333
  1  12  -180.0000  -146.1659   70.0000   73.8750
  1  13  -180.0000  -116.9278   70.0000   77.1667
  1  14  -180.0000   -87.6898   70.0000   80.0000
  1  15  -172.7631   -58.4517   70.0000   80.0000
  1  16  -115.1754   -29.2137   70.0000   80.0000
  1  17   -57.5877     0.0480   70.0000   80.0000
  1  18     0.0000    57.6357   70.0000   80.0000
  1  19    29.2380   115.2234   70.0000   80.0000
  1  20    58.4761   172.8111   70.0000   80.0000
  1  21    87.7141   180.0000   70.0000   80.0000
  1  22   116.9522   180.0000   70.0000   77.1583
  1  23   146.1902   180.0000   70.0000   73.8750
  1  24   175.4283   180.0000   70.0000   70.5333
  1  25  -999.0000  -999.0000  -99.0000  -99.0000
  1  26  -999.0000  -999.0000  -99.0000  -99.0000
  1  27  -999.0000  -999.0000  -99.0000  -99.0000
  1  28  -999.0000  -999.0000  -99.0000  -99.0000
  1  29  -999.0000  -999.0000  -99.0000  -99.0000
  1  30  -999.0000  -999.0000  -99.0000  -99.0000
  1  31  -999.0000  -999.0000  -99.0000  -99.0000
  1  32  -999.0000  -999.0000  -99.0000  -99.0000
  1  33  -999.0000  -999.0000  -99.0000  -99.0000
  1  34  -999.0000  -999.0000  -99.0000  -99.0000
  1  35  -999.0000  -999.0000  -99.0000  -99.0000
  2   0  -999.0000  -999.0000  -99.0000  -99.0000
  2   1  -999.0000  -999.0000  -99.0000  -99.0000
  2   2  -999.0000  -999.0000  -99.0000  -99.0000
  2   3  -999.0000  -999.0000  -99.0000  -99.0000
  2   4  -999.0000  -999.0000  -99.0000  -99.0000
  2   5  -999.0000  -999.0000  -99.0000  -99.0000
  2   6  -999.0000  -999.0000  -99.0000  -99.0000
  2   7  -999.0000  -999.0000  -99.0000  -99.0000
  2   8  -999.0000  -999.0000  -99.0000  -99.0000
  2   9  -180.0000  -159.9833   60.0000   63.6167
  2  10  -180.0000  -139.9833   60.0000   67.1167
  2  11  -180.0000  -119.9833   60.0000   70.0000
  2  12  -175.4283   -99.9833   60.0000   70.0000
  2  13  -146.1902   -79.9833   60.0000   70.0000
  2  14  -116.9522   -59.9833   60.0000   70.0000
  2  15   -87.7141   -39.9833   60.0000   70.0000
  2  16   -58.4761   -19.9833   60.0000   70.0000
  2  17   -29.2380     0.0244   60.0000   70.0000
  2  18     0.0000    29.2624   60.0000   70.0000
  2  19    20.0000    58.5005   60.0000   70.0000
  2  20    40.0000    87.7385   60.0000   70.0000
  2  21    60.0000   116.9765   60.0000   70.0000
  2  22    80.0000   146.2146   60.0000   70.0000
  2  23   100.0000   175.4526   60.0000   70.0000
  2  24   120.0000   180.0000   60.0000   70.0000
  2  25   140.0000   180.0000   60.0000   67.1167
  2  26   160.0000   180.0000   60.0000   63.6167
  2  27  -999.0000  -999.0000  -99.0000  -99.0000
  2  28  -999.0000  -999.0000  -99.0000  -99.0000
  2  29  -999.0000  -999.0000  -99.0000  -99.0000
  2  30  -999.0000  -999.0000  -99.0000  -99.0000
  2  31  -999.0000  -999.0000  -99.0000  -99.0000
  2  32  -999.0000  -999.0000  -99.0000  -99.0000
  2  33  -999.0000  -999.0000  -99.0000  -99.0000
  2  34  -999.0000  -999.0000  -99.0000  -99.0000
  2  35  -999.0000  -999.0000  -99.0000  -99.0000
  3   0  -999.0000  -999.0000  -99.0000  -99.0000
  3   1  -999.0000  -999.0000  -99.0000  -99.0000
  3   2  -999.0000  -999.0000  -99.0000  -99.0000
  3   3  -999.0000  -999.0000  -99.0000  -99.0000
  3   4  -999.0000  -999.0000  -99.0000  -99.0000
  3   5  -999.0000  -999.0000  -99.0000  -99.0000
  3   6  -180.0000  -171.1167   50.0000   52.3333
  3   7  -180.0000  -155.5594   50.0000   56.2583
  3   8  -180.0000  -140.0022   50.0000   60.0000
  3   9  -180.0000  -124.4449   50.0000   60.0000
  3  10  -160.0000  -108.8877   50.0000   60.0000
  3  11  -140.0000   -93.3305   50.0000   60.0000
  3  12  -120.0000   -77.7732   50.0000   60.0000
  3  13  -100.0000   -62.2160   50.0000   60.0000
  3  14   -80.0000   -46.6588   50.0000   60.0000
  3  15   -60.0000   -31.1015   50.0000   60.0000
  3  16   -40.0000   -15.5443   50.0000   60.0000
  3  17   -20.0000     0.0167   50.0000   60.0000
  3  18     0.0000    20.0167   50.0000   60.0000
  3  19    15.5572    40.0167   50.0000   60.0000
  3  20    31.1145    60.0167   50.0000   60.0000
  3  21    46.6717    80.0167   50.0000   60.0000
  3  22    62.2290   100.0167   50.0000   60.0000
  3  23    77.7862   120.0167   50.0000   60.0000
  3  24    93.3434   140.0167   50.0000   60.0000
  3  25   108.9007   160.0167   50.0000   60.0000
  3  26   124.4579   180.0000   50.0000   60.0000
  3  27   140.0151   180.0000   50.0000   60.0000
  3  28   155.5724   180.0000   50.0000   56.2500
  3  29   171.1296   180.0000   50.0000   52.3333
  3  30  -999.0000  -999.0000  -99.0000  -99.0000
  3  31  -999.0000  -999.0000  -99.0000  -99.0000
  3  32  -999.0000  -999.0000  -99.0000  -99.0000
  3  33  -999.0000  -999.0000  -99.0000  -99.0000
  3  34  -999.0000  -999.0000  -99.0000  -99.0000
  3  35  -999.0000  -999.0000  -99.0000  -99.0000
  4   0  -999.0000  -999.0000  -99.0000  -99.0000
  4   1  -999.0000  -999.0000  -99.0000  -99.0000
  4   2  -999.0000  -999.0000  -99.0000  -99.0000
  4   3  -999.0000  -999.0000  -99.0000  -99.0000
  4   4  -180.0000  -169.6921   40.0000   43.7667
  4   5  -180.0000  -156.6380   40.0000   48.1917
  4   6  -180.0000  -143.5839   40.0000   50.0000
  4   7  -171.1296  -130.5299   40.0000   50.0000
  4   8  -155.5724  -117.4758   40.0000   50.0000
  4   9  -140.0151  -104.4217   40.0000   50.0000
  4  10  -124.4579   -91.3676   40.0000   50.0000
  4  11  -108.9007   -78.3136   40.0000   50.0000
  4  12   -93.3434   -65.2595   40.0000   50.0000
  4  13   -77.7862   -52.2054   40.0000   50.0000
  4  14   -62.2290   -39.1513   40.0000   50.0000
  4  15   -46.6717   -26.0973   40.0000   50.0000
  4  16   -31.1145   -13.0432   40.0000   50.0000
  4  17   -15.5572     0.0130   40.0000   50.0000
  4  18     0.0000    15.5702   40.0000   50.0000
  4  19    13.0541    31.1274   40.0000   50.0000
  4  20    26.1081    46.6847   40.0000   50.0000
  4  21    39.1622    62.2419   40.0000   50.0000
  4  22    52.2163    77.7992   40.0000   50.0000
  4  23    65.2704    93.3564   40.0000   50.0000
  4  24    78.3244   108.9136   40.0000   50.0000
  4  25    91.3785   124.4709   40.0000   50.0000
